neighbourhood_number,neither_english_nor_french,total_income_statistics_in_2015_for_the_population_aged_15_years_and_over_in_private_households,population_2016
NA,NA,NA,2016
NA,132765,2294785,2731571
129,5945,25005,29113
128,3430,20400,23757
20,295,10265,12054
95,420,26295,30526
42,760,23410,27695
34,705,13270,15873
76,700,23945,25797
52,955,18730,21396
49,780,11150,13154
39,240,18560,23236
112,330,5250,6577
127,1510,24610,29960
122,305,18345,22291
24,1710,16965,21737
69,450,6280,7727
108,755,12360,14257
41,190,7745,9266
57,310,9880,11499
30,955,14350,17757
71,265,10195,11669
109,865,8420,9955
96,70,9590,10968
133,170,11195,13362
75,405,29085,31340
120,985,21740,26984
33,405,13660,16472
123,325,13255,15935
92,1170,12175,14133
66,440,7950,9666
59,650,14060,17180
47,1550,22760,27051
126,1300,20130,25003
93,2885,31825,36625
26,2070,29220,35052
83,810,10430,11785
62,410,17290,21381
9,380,13070,15535
138,730,18075,22776
5,300,7645,9456
32,510,17085,22372
11,430,15895,18588
13,435,9770,11848
44,1595,17535,21933
102,145,10615,12806
101,85,9260,10732
25,2680,24430,30491
65,775,11915,14417
140,85,8360,9917
53,835,13210,15723
88,390,18980,22162
87,265,19810,23925
134,290,10935,12494
48,1580,14800,16934
8,335,8660,10948
21,1000,10255,12416
22,1075,12585,15545
106,195,12065,14365
125,435,11300,13641
14,1350,37410,43965
90,385,12010,14366
110,995,9430,11058
124,640,14325,17123
78,2360,16150,17945
6,850,17740,22000
15,35,7590,9271
114,105,6280,7985
117,5965,37385,43993
38,370,13645,16164
105,130,11280,14607
103,80,12270,15179
56,60,13360,16828
84,1170,13660,15559
19,170,8725,10084
132,2105,35865,43794
29,625,8370,10111
12,200,9115,10554
130,7065,22380,26572
17,960,29830,33964
135,485,14275,17455
73,385,17025,20506
115,615,10865,13593
2,2515,25740,32954
99,140,13780,16775
104,470,26550,29658
18,280,9670,11463
50,1160,13950,16097
36,1395,20820,23831
82,450,28390,31180
68,410,9740,11916
74,515,16075,18615
121,620,10750,13845
107,1290,17840,21210
54,545,15400,18675
58,210,7740,9233
80,700,12495,13826
45,1005,28900,34805
23,495,8975,10722
67,140,6490,7804
46,1270,13760,15818
10,165,9270,11051
72,640,9040,10803
4,320,8720,10529
111,1350,18740,22246
86,640,12565,14974
98,90,18000,20923
131,1505,38125,46496
89,100,8020,10070
28,520,7825,9941
139,525,13080,16724
85,805,18595,21849
70,2220,23140,27876
40,660,15040,17812
116,5625,21120,24623
16,535,20830,25051
118,2655,23140,27446
61,545,12535,15683
63,45,17615,21567
3,550,8395,10360
55,1360,15250,21108
81,1975,14490,16556
79,225,6170,7607
43,725,14550,17510
77,950,61985,65913
136,600,22395,27392
1,1485,27850,33312
35,1515,22640,26274
113,665,14605,17992
91,970,9425,11098
119,975,23330,27917
51,3220,44340,50434
37,995,14935,16936
7,635,18585,22156
137,2575,43410,53485
64,295,10110,12541
60,220,6685,7865
94,650,11345,14349
100,100,9995,11817
97,90,11170,12528
27,1400,23530,27593
31,850,12065,14804
